item_id,restaurant_id,item_name,category,veg_flag,price,popularity_score
1,1,Margherita Pizza 1,main,0,242.40661657289968,0.1941657929749584
2,1,Margherita Pizza 2,main,0,264.68088621281083,0.11879425988729893
3,1,Lasagna 3,main,0,185.48489829944535,0.4461442123478429
4,1,Pasta Alfredo 4,main,0,277.11680930274395,0.17684997137494804
5,1,Pasta Alfredo 5,main,0,313.27013803108355,0.555295237154192
6,1,Sprite,drink,1,50.47589714732296,0.4356381090973942
7,1,Pepsi,drink,1,37.70653548546653,0.13270393573168335
8,1,Tiramisu,dessert,1,55.89030384830421,0.1754581770784797
9,1,Papad,snack,1,49.26181690479934,0.32065084698266283
10,2,Veg Biryani 1,main,1,286.6574972339024,0.46653166272959323
11,2,Butter Chicken 2,main,0,181.12919489036707,0.13685122271272782
12,2,Veg Biryani 3,main,1,348.5850461206475,0.4126320548456143
13,2,Chicken Biryani 4,main,0,203.01953153101914,0.20178239499145015
14,2,Butter Chicken 5,main,0,191.785948942677,0.5368109983705897
15,2,Coke,drink,1,48.74544959075474,0.7826828587308671
16,2,Pepsi,drink,1,74.79963214495206,0.38331856639113093
17,2,Ice Cream,dessert,1,60.220910383241474,0.40622215834000414
18,2,Spring Rolls,snack,1,92.60562149082082,0.5511644353026988
19,3,Veg Biryani 1,main,1,321.85557672487477,0.6327974844354596
20,3,Veg Biryani 2,main,1,223.29318622381126,0.3614853090515238
21,3,Butter Chicken 3,main,0,291.79508551540835,0.0798420477106425
22,3,Veg Biryani 4,main,1,305.13353178884125,0.13975161768641278
23,3,Dal Makhani 5,main,0,286.07758321892214,0.32048924223145486
24,3,Fresh Lime,drink,1,35.481036560246636,0.5328347001503422
25,3,Thumbs Up,drink,1,31.806299307186723,0.3934785085884979
26,3,Rasgulla,dessert,1,93.44026568475176,0.32646099374522464
27,3,Raita,snack,1,87.4404919667458,0.535742509699309
28,4,Wrap 1,main,0,164.61048798381145,0.08523139325300536
29,4,Burger 2,main,0,212.4843427041529,0.5360343165455984
30,4,Sandwich 3,main,0,140.18650073336286,0.3763365169593489
31,4,Fries 4,main,0,200.41474165168847,0.2455130286119295
32,4,Wrap 5,main,0,191.03363249334382,0.6573151648672635
33,4,Lassi,drink,1,20.0,0.94254635673946
34,4,Sprite,drink,1,49.58889708564364,0.9037946334092867
35,4,Ice Cream,dessert,1,60.345822913214775,0.18275494747892848
36,4,Samosa,snack,1,47.952547850112474,0.3613058746588177
37,5,Masala Dosa 1,main,0,277.85924199370123,0.05794497474400074
38,5,Masala Dosa 2,main,0,268.9803052582429,0.37946585310897907
39,5,Vada 3,main,0,227.80480998856788,0.16269163218313426
40,5,Masala Dosa 4,main,0,204.2791419924207,0.33279192642079974
41,5,Uttapam 5,main,0,246.61585232517444,0.2700853161519101
42,5,Buttermilk,drink,1,52.29340505665447,0.6691116266777452
43,5,Lassi,drink,1,72.06122011168168,0.5175120615019894
44,5,Gulab Jamun,dessert,1,40.0,0.03897612181802059
45,5,Papad,snack,1,57.72946507265699,0.44975794596365043
46,6,Chowmein 1,main,0,171.88879381446552,0.05646738442932408
47,6,Spring Rolls 2,main,0,164.71355979896927,0.21671206627819356
48,6,Hakka Noodles 3,main,0,199.28843696606148,0.22806988279014223
49,6,Chowmein 4,main,0,162.75330606904612,0.3573319774923138
50,6,Hakka Noodles 5,main,0,100.0,0.22637803667336043
51,6,Lassi,drink,1,28.631177464222613,0.3296303562246775
52,6,Buttermilk,drink,1,44.28738653287759,0.5954184351127333
53,6,Kulfi,dessert,1,55.09505276292444,0.22088827562486474
54,6,Spring Rolls,snack,1,42.917914985247045,0.1659789493697237
